2025-09-01 14:01:55 | INFO     | govnomet.database | ✅ База данных инициализирована успешно
2025-09-01 14:01:55 | INFO     | govnomet.game   | 🎮 Игровая логика ГовноМёт инициализирована
2025-09-01 14:01:55 | INFO     | govnomet        | 🚀 ГовноМёт запускается...
2025-09-01 14:01:55 | INFO     | govnomet        | 📁 Директория логов: /Users/yanagosteva/Desktop/Bot/govnomet/logs
2025-09-01 14:01:55 | INFO     | govnomet        | 📏 Максимальный размер лога: 2 МБ
2025-09-01 14:01:55 | INFO     | govnomet        | 🔄 Количество файлов бэкапа: 5
2025-09-01 14:01:55 | INFO     | govnomet        | ⏰ Время запуска: 2025-09-01 14:01:55
2025-09-01 14:01:55 | INFO     | govnomet        | 👋 ГовноМёт завершает работу
2025-09-01 14:01:55 | INFO     | govnomet        | ⏰ Время завершения: 2025-09-01 14:01:55
2025-09-01 14:05:12 | INFO     | govnomet.database | ✅ База данных инициализирована успешно
2025-09-01 14:05:12 | INFO     | govnomet.game   | 🎮 Игровая логика ГовноМёт инициализирована
2025-09-01 14:05:12 | INFO     | govnomet        | 🚀 ГовноМёт запускается...
2025-09-01 14:05:12 | INFO     | govnomet        | 📁 Директория логов: /Users/yanagosteva/Desktop/Bot/govnomet/logs
2025-09-01 14:05:12 | INFO     | govnomet        | 📏 Максимальный размер лога: 2 МБ
2025-09-01 14:05:12 | INFO     | govnomet        | 🔄 Количество файлов бэкапа: 5
2025-09-01 14:05:12 | INFO     | govnomet        | ⏰ Время запуска: 2025-09-01 14:05:12
2025-09-01 14:05:12 | INFO     | govnomet        | 👋 ГовноМёт завершает работу
2025-09-01 14:05:12 | INFO     | govnomet        | ⏰ Время завершения: 2025-09-01 14:05:12
2025-09-01 14:05:12 | ERROR    | govnomet        | ❌ Критическая ошибка запуска: 'GovnometLogger' object has no attribute 'error'
2025-09-01 14:05:39 | INFO     | govnomet.database | ✅ База данных инициализирована успешно
2025-09-01 14:05:39 | INFO     | govnomet.game   | 🎮 Игровая логика ГовноМёт инициализирована
2025-09-01 14:05:39 | INFO     | govnomet        | 🚀 ГовноМёт запускается...
2025-09-01 14:05:39 | INFO     | govnomet        | 📁 Директория логов: /Users/yanagosteva/Desktop/Bot/govnomet/logs
2025-09-01 14:05:39 | INFO     | govnomet        | 📏 Максимальный размер лога: 2 МБ
2025-09-01 14:05:39 | INFO     | govnomet        | 🔄 Количество файлов бэкапа: 5
2025-09-01 14:05:39 | INFO     | govnomet        | ⏰ Время запуска: 2025-09-01 14:05:39
2025-09-01 14:05:39 | INFO     | govnomet        | 🤖 Бот ГовноМёт запущен и готов к работе!
2025-09-01 14:07:27 | INFO     | govnomet        | 🚀 Команда /start от пользователя YanaGos (ID: 113296569) в чате 113296569
